"","country","study_num","max_depth_cm","Items_kg","latitude","longitude"
"121","Korea","2",5,420,37.40117,127.6837
"122","China","3",10,6075,30.74,114.4
"123","China","3",10,1925,30.77,114.41
"124","China","3",10,2750,30.78,114.42
"125","China","3",10,1925,30.77,114.43
"126","China","3",10,2400,30.78,114.4
"127","China","3",10,1200,30.83,114.42
"128","China","3",10,1225,30.87,114.41
"129","China","3",10,925,30.96,114.36
"130","China","3",10,1925,30.99,114.35
"131","China","3",10,2325,31.01,114.35
"132","China","3",10,3200,31.01,114.36
"133","China","3",10,4725,31.06,114.35
"134","China","3",10,2475,31.07,114.33
"135","China","3",10,2400,31.07,114.31
"136","China","3",10,3850,31.09,114.32
"137","China","3",10,5575,31.14,114.36
"138","China","3",10,1725,30.93,114.36
"139","China","3",10,1850,30.93,114.36
"140","China","3",20,4200,30.74,114.4
"141","China","3",20,3275,30.77,114.41
"142","China","3",20,2100,30.78,114.42
"143","China","3",20,2075,30.77,114.43
"144","China","3",20,2375,30.78,114.4
"145","China","3",20,1525,30.83,114.42
"146","China","3",20,1325,30.87,114.41
"147","China","3",20,1125,30.96,114.36
"148","China","3",20,4050,30.99,114.35
"149","China","3",20,1425,31.01,114.35
"150","China","3",20,875,31.01,114.36
"151","China","3",20,4150,31.06,114.35
"152","China","3",20,3175,31.07,114.33
"153","China","3",20,2925,31.07,114.31
"154","China","3",20,1750,31.09,114.32
"155","China","3",20,2650,31.14,114.36
"156","China","3",20,1525,30.93,114.36
"157","China","3",20,1800,30.93,114.36
"158","China","4",5,61.9,44.7215,82.912
"159","China","4",5,206.9,44.7215,82.912
"160","China","4",5,1068.97,44.7215,82.912
"161","China","4",20,102.9,44.7215,82.912
"162","China","4",20,460.34,44.7215,82.912
"163","China","4",20,1400,44.7215,82.912
"164","China","4",40,68,44.7215,82.912
"165","China","4",40,220.69,44.7215,82.912
"166","China","4",40,848.28,44.7215,82.912
"167","China","5",20,1085,37.1471,118.6893
"168","China","5",20,1158,37.1272,118.79
"169","China","5",20,1124,37.2417,118.8834
"170","China","5",20,967,37.2408,118.9248
"171","China","5",20,1277,37.0913,118.7874
"172","China","5",20,1401,37.1637,118.7355
"173","China","5",20,1376,37.1278,118.738
"174","China","5",20,1629,37.1758,118.7102
"175","China","5",20,1109,37.1914,118.8599
"176","China","5",20,1310,37.1631,118.759
"177","China","5",20,1499,37.2399,118.7331
"178","China","5",20,1639,37.2727,118.8311
"179","China","5",20,1598,37.2557,118.8779
"180","China","5",20,1232,37.2611,118.9222
