"","X","Country","Items_kg","HWSD2_SMU_ID","Predictions","soil_type_code","WRB2_code","soil_type","soil_abbr","Study"
"16",16,"China",9664.5,11283,19277.86315,11283,13,"Gleysols","GL","1"
"17",17,"China",13929.11,7001,20896.81871,7001,31,"Technosols","TC","1"
"18",18,"China",27140.71,7001,20896.81871,7001,31,"Technosols","TC","1"
"19",19,"China",124086.13,7276,22754.9981,7276,8,"Cambisols","CM","1"
"20",20,"China",14185.46,7001,22581.01677,7001,31,"Technosols","TC","1"
"21",21,"China",31947.92,7001,21812.62659,7001,31,"Technosols","TC","1"
"22",22,"Korea",240,4277,717.3731169,4277,1,"Acrisols","AC","2"
"23",23,"Korea",20,4277,705.8012428,4277,1,"Acrisols","AC","2"
"24",24,"Korea",1440,4277,632.2006405,4277,1,"Acrisols","AC","2"
"25",25,"Korea",1580,4277,653.9901822,4277,1,"Acrisols","AC","2"
"26",26,"Korea",2140,4277,725.0928629,4277,1,"Acrisols","AC","2"
"27",27,"Korea",3180,4277,749.2458094,4277,1,"Acrisols","AC","2"
"28",28,"Korea",1140,4277,706.8002108,4277,1,"Acrisols","AC","2"
"29",29,"Korea",280,4277,714.6832436,4277,1,"Acrisols","AC","2"
"30",30,"Korea",620,4277,709.644671,4277,1,"Acrisols","AC","2"
