"","X","Country","Items_kg","HWSD2_SMU_ID","Predictions","soil_type_code","WRB2_code","soil_type","soil_abbr","Study"
"1",1,"China",19154.56,7383,21422.42133,7383,8,"Cambisols","CM","1"
"2",2,"China",7331.57,7148,23732.14827,7148,27,"Retisols","RT","1"
"3",3,"China",5355.36,7001,22052.84271,7001,31,"Technosols","TC","1"
"4",4,"China",16017.96,7001,21977.04811,7001,31,"Technosols","TC","1"
"5",5,"China",11118.49,7001,19797.62076,7001,31,"Technosols","TC","1"
"6",6,"China",7800,7001,23061.27749,7001,31,"Technosols","TC","1"
"7",7,"China",14043.26,7871,23302.89731,7871,18,"Leptosols","LP","1"
"8",8,"China",29720.28,7001,21778.21931,7001,31,"Technosols","TC","1"
"9",9,"China",15637.45,7001,19030.3945,7001,31,"Technosols","TC","1"
"10",10,"China",38367.08,7363,22247.79848,7363,8,"Cambisols","CM","1"
"11",11,"China",8253.23,7001,24584.50804,7001,31,"Technosols","TC","1"
"12",12,"China",13856.93,7001,22902.26653,7001,31,"Technosols","TC","1"
"13",13,"China",23873.87,7359,18839.08979,7359,8,"Cambisols","CM","1"
"14",14,"China",23184.54,9731,20462.16861,9731,26,"Regosols","RG","1"
"15",15,"China",7366.67,7001,27713.37297,7001,31,"Technosols","TC","1"
